name,instagram,facebook,fb_filter,fb_exclude,website
3F København,3f_kbh,,,,
7 Days Active,7days_active,,,,
A Music Collective,,https://www.facebook.com/profile.php?id=61573846614477,,,
ALIVE Tantra Copenhagen,alive.tantra.copenhagen,https://www.facebook.com/profile.php?id=61554029725336,,,
Andersens Contemporary,andersenscontemporary,,,,
Ansgarkirken,ansgarkirken,,,,https://www.ansgarkirke.dk/kalender
Argentum CPH,argentumcph,,,,
Art Hub Copenhagen,art_hub_copenhagen,,,,
Atelier EA,atelier_ea,,,,
Auto Poul,autopoul,,,,
Bagt Boulangerie,bagt_boulangerie,,,,
Bar 16 Lygten,bar_16_lygten,,,,
Beboerprojekt Nordvest (boligsocial helhedsplan),,https://www.facebook.com/beboerprojektnv/events,,,
Behov Pizza,behovpizza,,,,
Bellahøj Kirke,bellahoejkirke,,,,
Bevars Interior,bevars_interior,,,,
Biblioteket Rentemestervej,biblioteketrentemestervej,https://www.facebook.com/BIBLIOTEKETrentemestervej/events,,,https://bibliotek.kk.dk/arrangementer/soeg#?cludoquery=*&cludoCategory=Arrangementer&cludoLocation=BIBLIOTEKET%20Rentemestervej&cludosort=SortDate_date%3Dasc&cludopage=1&cludoinputtype=standard
Bispebjerg Bakke,bispebjerg.bakke,https://www.facebook.com/BispebjergBakke.omf/events,,,
Bispebjerg Lokaludvalg,,https://www.facebook.com/bispebjerg/events,,,
BK Union,bkunion,,,,
BK Union Pigefodbold,bk.union.pigefodbold,,,,
Blaaneblaane,blaaneblaane,,,,
Bodega Konkylie,bodega.konkylie,,,,
Brøk 2700,broek_2700,,,,
Café Bjerget,cafebjerget,,,,
Café Fuglereden,cafefuglereden,,,,
Café Gazou,cafe.gazou,https://www.facebook.com/CafeGazouNV/events,,,
Café Sirius,cafesirius,,,,
Cider Revolution,ciderrevolution,,,,
Copenhagen Music Academy,copenhagenmusicacademy,https://www.facebook.com/copenhagenmusicacademy/events,,,
Dans i Nordvest,dansinordvest,,,,
Dansekapellet,dansekapellet,,,,https://dansekapellet.kk.dk/events
Dave's,davescph,,,,
De Grønne Pigespejdere,pigespejdergroendal,https://www.facebook.com/profile.php?id=100027792056483,,,
Demokratigarage,demokratigarage,https://www.facebook.com/demokratigarage/events,,,https://www.demokratigarage.dk/kalender/
Design by Us,design_by_us,,,,
Diminutte,diminutte,,,,
Dortefradortheavej,dortefradortheavej,,,,
Dorthea's Nordvest,dortheasbar,https://www.facebook.com/Dortheasnordvest/events,,,
Drift Radio,drift.radio,,,,
En Sommerdag på Bellahøj,ensommerdagpaabellahoej,,,,
FabLab Nordvest,fablabnordvest,,,,
Filmklubben Under the Bridge,filmklubben_underthebridge,,,,
Fiskerikajen,fiskerikajen,,,,
Fiskerizakajaen,fiskerizakajaen,,,,
Flavo CPH,flavo.cph,,,,
Flere Fugle,flerefugle,,,,https://www.flerefugle.dk/events
Flere Fugle Bageri,flerefugle_bageri_og_butik,,,,
Flok Kantine,flok_kantine,,,,
Flowering DK,floweringdk,,,,
Flying Couch Bar,flying_couch_bar,,,,
Flying Couch Brewing,flying_couch_brewing,,,,
FOF København,fofkbh_nordsj,https://www.facebook.com/fofkbh/events,Birkedommervej,,
Foo Ferments,fooferments,,,,
Fovl NV,fovl.nv,,,,
Frederikssundsvej 35,frederikssundsvej35,,,,
Gamma,gamma_nv,https://www.facebook.com/profile.php?id=61556180883930,,,
Gamma Brewing,gammabrewing,,,,
GANG Galleri,gang_galleri,https://www.facebook.com/GANGgalleri/events,,,
Garagen CPH,garagen_cph,,,,
Gaza Grill,gazagrill,,,,
Genforenet Boldklubben Union,genforenet_boldklubbeunion,,,,
Glad Teater,gladteater,,,,
Goldschmidts Musikakademi,goldschmidts_musikakademi,https://www.facebook.com/goldschmidtsakademi/events,,,
Goose CPH,goosecph,,,,
Grundtvigs Kirke,grundtvigskirke,https://www.facebook.com/Grundtvigs.Kirke/events,,,
Grøndal Multicenter,groendalmulticenter,,,,
Grønne Bønner,gronnebonner,,,,
Happy Feet Studio,happyfeetstudio.dk,,,,
Haut Scene,haut_scene,,,,
Heat Harmony,heatharmonydk,,,,
HipHop CPH,hiphop.cph,,,,
Hjerte Rum,hjerte.rum,,,,
Hoetoft,hoetoft_,,,,
Husum Vold Kirke,husumvoldkirke,,,,
Højbanen,,https://www.facebook.com/profile.php?id=61575807150439,,,
JoJo Cocktailbar,jojococktailbar,,,,
Just Sauna,just_sauna,https://www.facebook.com/justsaunadk/events,,Jernbanegade,https://www.justsauna.dk/special-events
Kaffedepartementet,kaffedepartementet,,,,
Kampsportens Hus,kampsportenshus,,,,
Kaoskomplottet,kaoskomplottet,,,,
Kapernaumskirken,kapernaumskirken,,,,https://www.kapernaumskirken.dk/begivenheder--faellesskaber
Kima Forfanden,kima_forfanden,,,,
Kimia Healing Space,kimia.healing.space,https://www.facebook.com/Kimiahealingspace/events,,,
Københavns Trup,kobenhavnstrup,https://www.facebook.com/Kobenhavnstrup/events,,,
Lagersalg,,https://www.facebook.com/lagersalgcom/events,2400,,
Lers og Roften,lersogroften,,,,
Lunden KBH,lundenkbh,,,,
Lurendrejeren Nordvest,lurendrejeren_nordvest,,,,
Lygten Station,lygtenstation,https://www.facebook.com/LygtenStation/events,,,https://kulturogfritidn.kk.dk/det-sker?place%5B0%5D=Lygten%20Station&title=Det%20sker%20p%C3%A5%20Lygten%20Station
Lygten's Kro,lygtenskro,,,,
MakerSpace NV,makerspacenv,https://www.facebook.com/MakerSpacenv/events,,,
Manzel Bazar,manzelbazar.dk,,,,
Mental Health Club,mentalhealthclub.dk,,,,
Mill Factory / Nuvenue,millfactory_nuvenue,,,,
Next KBH,nextkbh,,,,
Nicolai Wallner,nicolaiwallner,,,,
Nils Stærk,nilsstaerk,,,,
Nordic Health House,nordichealthhouse,,,,https://nor.house/events/
Nordvest Bazar,nordvestbazar,,,,
Nordvest Kirken,nordvestkirken,,,,
Nordvest Ølbar,nordvest_olbar,https://www.facebook.com/nordvestolbar/events,,,
Nova Sense,nova.sense,,,,
Nødvendigvis,noedvendigvis,,,,
Nørrebro Bycenter,noerrobrobycenter,,,,
Nørrebro Kunsthus,noerrebrokunsthus,,,,
Nørrebro Street Food,noerrebrostreetfood,,,,
OMF Skjolds Plads,omf.skjoldsplads,,,,
Områdefornyelse Bispeengen,,https://www.facebook.com/profile.php?id=100090971047719,,,
Pico Pizza,picopizza_cph,,,,
Pladefabrikken,pladefabrikken,,,,
Pool Pub,poolpub_cph,,,,
Pop's Diner,popsdiner.dk,,,,
Rabens Saloner,rabens_saloner,https://www.facebook.com/rabenssaloner/events,,,
Ray's Chicken,rayschickencph,,,,
Repair Café Nordvest,,https://www.facebook.com/repaircafe.nordvest/events,,,
Restaurant Ahali,restaurantahali,,,,
Rodderne,roddercph,,,,https://www.rodder.dk/events
Rondo CPH,rondo_cph,,,,
Room Room AHC,room_room_ahc,,,,
RORT Copenhagen,rort.copenhagen,https://www.facebook.com/rortcph/events,,,
Rummet,rummet_,,,,
Sauna 85,sauna.85,,,,https://www.sauna85.dk/bliv-gusmester/
Siam DK,siam.dk,,,,
Skov Consulting,skov_consulting,,,,
Smedetoften Ungekulturhus,smedetoften_ungekulturhus,,,,
Sokkelund Lille (Utterslev Torv børnekultur),,https://www.facebook.com/Sokkelundlille/events,,,
Storm B Café,stormbcafe,https://www.facebook.com/stormbcafe/events,,,
Street Society DK,,https://www.facebook.com/streetsocietyDK/events,,,
Taca Copenhagen,tacacopenhagen,,,,
Tagensbo Kirke,tagensbokirke,,,,https://www.tagensbo.dk/aktiviteter-i-kirken
Tegneskole KBH,tegneskole_kbh,,,,https://www.tegneskolekbh.dk/workshops/
Tekno Eatery,teknoeatery,,,,
Thora's 29,thoras_29,,,,
Thoravej 29,thoravej29,,,,https://www.thoravej29.dk/da/events
Tingbjerg Kirke,tingbjerg_kirke,,,,
TK Ungdomsgård,tkungdomsgard,,,,
Tribeca Beer & Pizza Lab,tribecabeer.pizzalab,,,,
Ungdomshuset D61,ungdomshuset_d61,https://www.facebook.com/UngdomshusetD61/events,,,https://www.ungdomshuset.dk/
Ungehus Borup,ungehus_borup,,,,
Urban 13,urban13_cph,,,,https://www.urban13.dk/events
Urban Camper,urbancampercph,,,,
Utterslev Torvs Kulturforening,utterslevtorvskulturforening,https://www.facebook.com/UtterslevTorvsKulturforening/events,,,
Verdens Mindste Kulturhus,verdensmindstekulturhus,,,,
Viggo's Bar,viggosbar,,,,
Villa Tagensbo Fritidsklub,villa_tagensbo_fritidsklub,,,,
Vin de Table,vin_de_table,,,,
Virkelig Yoga,virkeligyoga,,,,
Women's Sharing Circle,womens_sharing_circle,https://www.facebook.com/womenssharingcirclecommunity/events,,,
Wuth Copenhagen,wuthcopenhagen,,,,
Åben Bar,aabenbar,,,,
Økoung,oekoung,,,,
